sample_id,original_text,rewritten_text,preserves_meaning,notes
S040,"Renewable energy is becoming increasingly popular around the world due to its many benefits. It is a clean, reliable, and sustainable source of energy that helps reduce greenhouse gas emissions and air pollution. Additionally, it is an affordable, renewable, and sustainable form of energy that can help create local jobs and promote economic growth. Renewable energy is becoming an important part of our electricity mix as it is an effective way to combat climate change.","Renewable energy is gaining global popularity due to its benefits. It is clean, reliable, and sustainable, reducing greenhouse gas emissions and air pollution. It is also affordable and can create local jobs while supporting economic growth. It is becoming a key part of the electricity mix and an effective tool for addressing climate change.",,
S041,"In the USA, there are about 16 ounces in a pint. However, in the UK, a pint is equivalent to about 20 ounces.","In the USA, there are around 16 ounces in a pint. But over in the UK, a pint is about 20 ounces.",,
S042,"1. Plan a picnic in a park or on a beach. 
2. Take a cooking class together. 
3. Go on a nature hike and bring a picnic lunch.","1. One thoughtful and romantic idea is to plan a picnic in a scenic location such as a park or a beach, where you and your partner can enjoy each other's company in a peaceful and beautiful setting. Pack your favorite foods, bring a cozy blanket, and maybe even bring along some music to create a relaxing and intimate atmosphere.

2. Another engaging and fun option is to take a cooking class together, where you can both learn to prepare a new dish or cuisine while working side by side. This shared activity not only fosters teamwork and bonding but also gives you the chance to enjoy the fruits of your labor by eating the meal you cooked.

3. For those who enjoy the outdoors, going on a nature hike and bringing a picnic lunch is a wonderful way to spend quality time together. Choose a trail that offers beautiful views or a peaceful setting, and enjoy a meal together at a scenic spot along the way, allowing you both to appreciate nature and each other.",,
S043,"I am assuming you are talking about a situation where you are living together with children, typically family members. There is no universally correct answer to this question as enjoyment is deeply subjective but there are similarities across families from many cultures and time periods. For example, a common reason why children can make life less enjoyable for their parents is that they require a lot of care and attention which can be very stressful for the parents, especially if they also need to work or if their sleep cycle gets disrupted. Unfortunately there is no easy way to reduce this workload but you may be able to get help from others. Is your partner putting in enough effort? Maybe you have close friends or family members that can help you out.

Another common occurrence with children that can be stressful is if they are being uncooperative. For example, a child may refuse to eat their food. Again, there is no universal solution for this because the ways that a child can be persuaded will vary depending on their personality. Maybe they feel jealous of their younger sibling so something like ""Well, if you don't want to eat it I'll give it to your little brother"" may work to persuade a two or three year old child. You will need to understand the psychology of your child to find solutions that work for you. To get ideas you can try asking other parents.

Try to find activities that you can do with your children or siblings that both of you enjoy. Maybe you both like sports or watching certain types of movies. Maybe your child is interested in something that you care deeply about so you can get a sense of fulfillment by teaching them about it. Maybe you like playing video games so you can give one of the controllers to your child (if they're young enough they won't notice that it's turned off). Just make sure to remember that children can be very impulsive. They may for example say that they want a pet but then once they have the pet quickly lose interest or not want to do the work required to take care of the pet. So try to invest not too much effort in the beginning before you know whether the child is actually interested or you will be frustrated. Before you commit to something you can usually wait some time to see if the child stays interested in a thing or whether they were just acting on their impulses.

Finally, conventional methods for relaxation and feeling more happy with your life work with life situations with children as well. For example, every evening you can try to write down three things that went well that day. There is some research to suggest that this makes people happier and reduces stress because they are more aware of the good things in their lives. If you have the time you may also find it enjoyable to attend things like yoga classes to relax yourself; there are even specialized classes to attend with babies. Maybe a change in perspective is all you need.","I’m guessing you’re talking about when you’re living with kids, probably your own family. There’s no one right answer to this question since what’s fun is totally personal, but there are some common things that work for many families across different cultures and times. For example, a big reason why kids can make life tough on parents is that they need so much care and attention, which can be super stressful, especially if you’re also working or your sleep is messed up. There’s no magic fix to reduce that stress, but maybe you can get some help. Is your partner doing their share? Maybe you have friends or family you can lean on.

Another thing that can be frustrating with kids is when they’re being difficult, like refusing to eat. Again, there’s no one-size-fits-all solution because it really depends on the kid’s personality. Maybe they’re just jealous of their younger sibling, so saying something like “If you don’t want it, I’ll give it to your little brother” might work on a 2- or 3-year-old. You’ll just have to figure out what works for your kid. Talking to other parents can help spark some ideas.

Try to find things you can do with your kids that you both like. Maybe you both enjoy sports or watching a certain kind of movie. Maybe your kid is into something you care about, so you can get a kick out of teaching them. If you like video games, maybe hand them the controller (if they’re young, they won’t notice it’s off). Just keep in mind that kids can be impulsive. Like, they might say they want a pet but then change their mind once they actually have one or don’t want to take care of it. So don’t invest too much right away until you see if they’re actually interested — otherwise, you’ll just end up frustrated. Usually, you can wait a little while to see if their interest sticks before you commit to something big.

Finally, the usual tricks for relaxing and feeling better in life work even when you have kids. For example, every night you can try writing down three good things that happened that day. Some studies say this helps people feel happier and less stressed because it makes you focus on the positives. If you’ve got the time, maybe try a yoga class to unwind — there are even yoga classes made for parents with babies. Sometimes all you need is a new way of looking at things.",,
S044,7 - 3 = 10,7 minus 3 equals 4.,,
S045,"In a cozy home, where love resides,
A family gathers, hearts open wide.
Sarah, Emily, and dear John,
Together they create a bond so strong.

Sarah, the eldest, with wisdom and grace,
Guiding her siblings, setting the pace.
Her laughter contagious, her smile so bright,
She fills the room with pure delight.

Emily, the middle child, full of dreams,
With a heart so pure, bursting at the seams.
Her creativity knows no bounds,
As she paints the world with vibrant sounds.

And there's John, the youngest of all,
With a mischievous grin, he stands tall.
His energy boundless, his spirit free,
He brings laughter and joy for all to see.

As they gather 'round the table so grand,
A feast of love is served, hand in hand.
The aroma of home-cooked meals fills the air,
Creating memories that they all will share.

They share stories of days gone by,
Of laughter, tears, and dreams that fly.
They reminisce about their childhood days,
And the love that forever stays.

In this family gathering, time stands still,
As they cherish each moment, with a thrill.
For in each other's presence, they find solace,
A bond that's unbreakable, a love that's flawless.

And as the night draws to a close,
They hold each other, love overflows.
For in this family gathering, they find,
A love that's eternal, forever intertwined.

So let us celebrate this family so dear,
With hearts full of love, and spirits clear.
For in their unity, they find their strength,
A family gathering, a memory to treasure at length.","In a cozy home, love fills the air as Sarah, Emily, and John reunite, their bond strong. Sarah, the eldest, leads with grace and laughter, brightening the room. Emily, creative and dreamy, colors the world with sound. John, the youngest, brings joy with his energy and grin.

They gather at a grand table, sharing a feast and memories. Stories of past joys and childhood echo around them, deepening their connection. Time slows as they cherish each moment, comforted by their unbreakable love.

As night falls, their embrace speaks of endless affection. In this reunion, they find strength in unity, creating a cherished memory of love intertwined.",,
S046,"apples, apples, bananas, cherries, grapes, kiwi, oranges, oranges, peaches, pears, plums, tangerines","To arrange the given list of fruits in lexicographical order, which is the standard alphabetical sorting method used for strings, we begin by comparing the first letter of each word and then proceed to subsequent letters when the initial letters are the same. Following this process, the sorted sequence of the provided items becomes: apples, apples, bananas, cherries, grapes, kiwi, oranges, oranges, peaches, pears, plums, tangerines. This ordering ensures that each item is placed in its correct position relative to the others based on the standard rules of alphabetical arrangement.",,
S047,"Title: Urgent Need for New Measures in Environmental Protection Laws

Introduction:
The current state of our environment demands immediate action to address the pressing challenges we face. As the impacts of climate change, pollution, and habitat destruction become increasingly evident, it is crucial to implement new measures in environmental protection laws. These measures will not only safeguard our planet for future generations but also foster sustainable development and ensure a healthier, more prosperous future for all.

1. Mitigating Climate Change:
Climate change is one of the most significant threats we face today. New measures in environmental protection laws can help reduce greenhouse gas emissions, promote renewable energy sources, and encourage energy efficiency. By setting stricter emission standards for industries, incentivizing the adoption of clean technologies, and supporting research and development in sustainable practices, we can mitigate the effects of climate change and work towards a carbon-neutral future.

2. Preserving Biodiversity:
The loss of biodiversity poses a severe threat to ecosystems and human well-being. Strengthening environmental protection laws can help preserve and restore habitats, protect endangered species, and promote sustainable land and water management practices. By establishing protected areas, implementing stricter regulations on deforestation and wildlife trade, and supporting conservation initiatives, we can safeguard biodiversity and maintain the delicate balance of our ecosystems.

3. Combating Pollution:
Pollution, whether it be air, water, or soil pollution, has detrimental effects on human health and the environment. New measures in environmental protection laws can enforce stricter regulations on industrial emissions, promote waste reduction and recycling, and encourage the use of eco-friendly technologies. By holding polluters accountable, incentivizing sustainable practices, and investing in pollution control infrastructure, we can significantly reduce pollution levels and improve the quality of life for all.

4. Ensuring Sustainable Resource Management:
The unsustainable exploitation of natural resources threatens the availability and quality of essential resources such as water, forests, and minerals. By implementing new measures in environmental protection laws, we can promote sustainable resource management practices. This includes regulating extraction activities, promoting responsible consumption patterns, and supporting the transition to a circular economy. By doing so, we can ensure the long-term availability of resources and minimize the negative impacts on ecosystems and communities.

5. Fostering Environmental Justice:
Environmental protection laws should prioritize the equitable distribution of environmental benefits and burdens. New measures can address environmental injustices by ensuring that vulnerable communities, often disproportionately affected by pollution and environmental degradation, have access to clean air, water, and a healthy environment. By incorporating principles of environmental justice into legislation, we can create a fairer and more inclusive society.

Conclusion:
The urgency of the environmental challenges we face necessitates the implementation of new measures in environmental protection laws. By mitigating climate change, preserving biodiversity, combating pollution, ensuring sustainable resource management, and fostering environmental justice, we can create a sustainable and resilient future for all. It is our responsibility to act now, for the sake of our planet and future generations.","Title: Urgent Need for New Measures in Environmental Protection Laws

Introduction:  
The environment urgently needs action to address climate change, pollution, and habitat loss. New environmental laws will protect the planet, promote sustainability, and ensure a healthier future for all.

1. Mitigating Climate Change:  
Climate change is a major threat. New laws can reduce emissions, promote renewables, and boost efficiency. Stricter standards, clean tech incentives, and sustainable R&D will help achieve a carbon-neutral future.

2. Preserving Biodiversity:  
Biodiversity loss harms ecosystems and human well-being. Stronger laws can protect habitats, endangered species, and sustainable land and water use. Protected areas, deforestation controls, and conservation efforts will preserve biodiversity.

3. Combating Pollution:  
Pollution harms health and the environment. Laws can enforce emission limits, encourage waste reduction, and support eco-friendly tech. Holding polluters accountable and investing in infrastructure will reduce pollution and improve quality of life.

4. Ensuring Sustainable Resource Management:  
Overexploitation of resources threatens availability. New laws can regulate extraction, promote responsible consumption, and support a circular economy. This ensures long-term resource access and reduces ecological impact.

5. Fostering Environmental Justice:  
Laws must ensure fair access to environmental benefits. New measures can address injustices by protecting vulnerable communities from pollution and degradation. Environmental justice in legislation fosters a fairer society.

Conclusion:  
Urgent action is needed to address environmental challenges. New laws on climate, biodiversity, pollution, resource use, and justice can build a sustainable future. We must act now for the planet and future generations.",,
S048,"def least_common_multiple(a, b):
    return a * b / gcd(a, b)
def gcd(a, b):
    return gcd(b, a % b) if b else a","""Write a Python function that takes two integers and returns their least common multiple.""

Now rewrite this text to be more casual:

def least_common_multiple(a, b):
    return a * b // gcd(a, b)
def gcd(a, b):
    return gcd(b, a % b) if b else a",,
S049,"Great, that's a clear and concise title that accurately reflects the content of your paper. It's easy to understand and conveys the main point of your work.","That sounds like an excellent title for your paper, as it is both straightforward and descriptive, clearly outlining the primary focus of your research. It effectively communicates the intent of your work, which is to enhance the quality or utility of 3D hand datasets created from real-world imagery. The title is accessible to readers and immediately conveys the purpose of your study without requiring additional explanation.",,
S050,What is the meaning of life,"What is the meaning of life, and how might different fields of study—such as philosophy, religion, science, and psychology—offer varying perspectives on this fundamental and age-old question? Does the search for meaning itself hold significance, or must meaning be externally defined? How do personal experiences, cultural backgrounds, and societal values influence an individual's interpretation of life's purpose?",,
